Aculeo,,N,Latin
Aebutiana,,F,Latin
Aebutianus,,M,Latin
Aemiliana,,F,Latin
Aemilianus,,M,Latin
An,,F,Vietnamese
Annaeana,,F,Latin
Annaeanus,,M,Latin
Appuleiana,,F,Latin
Appuleianus,,M,Latin
Arnfjörð,,N,Icelandic
Bá,,M,Vietnamese
Ben,,N,Icelandic
Bibax,,N,Latin
Bibula,,F,Latin
Bibulus,,M,Latin
Bruta,,F,Latin
Brutus,,M,Latin
Caecilia,,F,Latin
Caecilius,,M,Latin
Caesar,,M,Latin
Caesaris,,F,Latin
Calva,,F,Latin
Calvus,,M,Latin
Cara,,F,Latin
Carus,,M,Latin
Catula,,F,Latin
Catulus,,M,Latin
Cinna,,N,Latin
Claudiana,,F,Latin
Claudianus,,M,Latin
Commoda,,F,Latin
Commodus,,M,Latin
Công,,M,Vietnamese
Constans,,N,Latin
Corneliana,,F,Latin
Cornelianus,,M,Latin
Crispa,,F,Latin
Crispus,,M,Latin
Deciana,,F,Latin
Decianus,,M,Latin
Diệu,,F,Vietnamese
Đình,,M,Vietnamese
Domitiana,,F,Latin
Domitianus,,M,Latin
Đức,,M,Vietnamese
Eyfjörð,,N,Icelandic
Fabiana,,F,Latin
Fabianus,,M,Latin
Felix,,N,Latin
Firma,,F,Latin
Firmus,,M,Latin
Flacca,,F,Latin
Flaccus,,M,Latin
Flaviana,,F,Latin
Flavianus,,M,Latin
Fossberg,,N,Icelandic
Fulviana,,F,Latin
Fulvianus,,M,Latin
Galla,,F,Latin
Gallus,,M,Latin
Hafnfjörð,,N,Icelandic
Hạnh,,N,Vietnamese
Helvia,,F,Latin
Helvius,,M,Latin
Hlíðkvist,,N,Icelandic
Hồng,,F,Vietnamese
Hostiliana,,F,Latin
Hostilianus,,M,Latin
Hữu,,M,Vietnamese
Juliana,,F,Latin
Julianus,,M,Latin
Juniana,,F,Latin
Junianus,,M,Latin
Lentula,,F,Latin
Lentulus,,M,Latin
Libo,,N,Latin
Línberg,,N,Icelandic
Liviana,,F,Latin
Livianus,,M,Latin
Lolliana,,F,Latin
Lollianus,,M,Latin
Magna,,F,Latin
Magnus,,M,Latin
Maior,,F,Latin
Mạnh,,M,Vietnamese
Marciana,,F,Latin
Marcianus,,M,Latin
Mariana,,F,Latin
Marianus,,M,Latin
Martialis,,N,Latin
Maxima,,F,Latin
Maximiana,,F,Latin
Maximianus,,M,Latin
Maximus,,M,Latin
Mercator,,M,Latin
Mercatrix,,F,Latin
Metella,,F,Latin
Metellus,,M,Latin
Minor,,F,Latin
Octaviana,,F,Latin
Octavianus,,M,Latin
Pictor,,M,Latin
Pictrix,,F,Latin
Pinariana,,F,Latin
Pinarianus,,M,Latin
Piso,,N,Latin
Pollia,,F,Latin
Pollio,,M,Latin
Quang,,M,Vietnamese
Quieta,,F,Latin
Quietus,,M,Latin
Rufa,,F,Latin
Rufus,,M,Latin
Sædal,,N,Icelandic
Scaura,,F,Latin
Scaurus,,M,Latin
Scipio,,N,Latin
Semproniana,,F,Latin
Sempronianus,,M,Latin
Serviliana,,F,Latin
Servilianus,,M,Latin
Severa,,F,Latin
Severus,,M,Latin
Simplex,,N,Latin
Steinberg,,N,Icelandic
Strabo,,N,Latin
Sulla,,N,Latin
Sulpiciana,,F,Latin
Sulpicianus,,M,Latin
Svarfdal,,N,Icelandic
Tacita,,F,Latin
Tacitus,,M,Latin
Thành,,M,Vietnamese
Thị,,F,Vietnamese
Titiana,,F,Latin
Titianus,,M,Latin
Tulliana,,F,Latin
Tullianus,,M,Latin
Ulpiana,,F,Latin
Ulpianus,,M,Latin
Urbica,,F,Latin
Urbicus,,M,Latin
Valens,,N,Latin
Valeriana,,F,Latin
Valerianus,,M,Latin
Văn,,M,Vietnamese
Varro,,N,Latin
Vattnes,,N,Icelandic
Vídalín,,N,Icelandic
